행정구역,2014년_계_총인구수,2014년_계_연령구간인구수,2014년_계_0~9세,2014년_계_10~19세,2014년_계_20~29세,2014년_계_30~39세,2014년_계_40~49세,2014년_계_50~59세,2014년_계_60~69세,2014년_계_70~79세,2014년_계_80~89세,2014년_계_90~99세,2014년_계_100세 이상,2014년_남_총인구수,2014년_남_연령구간인구수,2014년_남_0~9세,2014년_남_10~19세,2014년_남_20~29세,2014년_남_30~39세,2014년_남_40~49세,2014년_남_50~59세,2014년_남_60~69세,2014년_남_70~79세,2014년_남_80~89세,2014년_남_90~99세,2014년_남_100세 이상,2014년_여_총인구수,2014년_여_연령구간인구수,2014년_여_0~9세,2014년_여_10~19세,2014년_여_20~29세,2014년_여_30~39세,2014년_여_40~49세,2014년_여_50~59세,2014년_여_60~69세,2014년_여_70~79세,2014년_여_80~89세,2014년_여_90~99세,2014년_여_100세 이상,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_0~9세,2015년_계_10~19세,2015년_계_20~29세,2015년_계_30~39세,2015년_계_40~49세,2015년_계_50~59세,2015년_계_60~69세,2015년_계_70~79세,2015년_계_80~89세,2015년_계_90~99세,2015년_계_100세 이상,2015년_남_총인구수,2015년_남_연령구간인구수,2015년_남_0~9세,2015년_남_10~19세,2015년_남_20~29세,2015년_남_30~39세,2015년_남_40~49세,2015년_남_50~59세,2015년_남_60~69세,2015년_남_70~79세,2015년_남_80~89세,2015년_남_90~99세,2015년_남_100세 이상,2015년_여_총인구수,2015년_여_연령구간인구수,2015년_여_0~9세,2015년_여_10~19세,2015년_여_20~29세,2015년_여_30~39세,2015년_여_40~49세,2015년_여_50~59세,2015년_여_60~69세,2015년_여_70~79세,2015년_여_80~89세,2015년_여_90~99세,2015년_여_100세 이상,2016년_계_총인구수,2016년_계_연령구간인구수,2016년_계_0~9세,2016년_계_10~19세,2016년_계_20~29세,2016년_계_30~39세,2016년_계_40~49세,2016년_계_50~59세,2016년_계_60~69세,2016년_계_70~79세,2016년_계_80~89세,2016년_계_90~99세,2016년_계_100세 이상,2016년_남_총인구수,2016년_남_연령구간인구수,2016년_남_0~9세,2016년_남_10~19세,2016년_남_20~29세,2016년_남_30~39세,2016년_남_40~49세,2016년_남_50~59세,2016년_남_60~69세,2016년_남_70~79세,2016년_남_80~89세,2016년_남_90~99세,2016년_남_100세 이상,2016년_여_총인구수,2016년_여_연령구간인구수,2016년_여_0~9세,2016년_여_10~19세,2016년_여_20~29세,2016년_여_30~39세,2016년_여_40~49세,2016년_여_50~59세,2016년_여_60~69세,2016년_여_70~79세,2016년_여_80~89세,2016년_여_90~99세,2016년_여_100세 이상,2017년_계_총인구수,2017년_계_연령구간인구수,2017년_계_0~9세,2017년_계_10~19세,2017년_계_20~29세,2017년_계_30~39세,2017년_계_40~49세,2017년_계_50~59세,2017년_계_60~69세,2017년_계_70~79세,2017년_계_80~89세,2017년_계_90~99세,2017년_계_100세 이상,2017년_남_총인구수,2017년_남_연령구간인구수,2017년_남_0~9세,2017년_남_10~19세,2017년_남_20~29세,2017년_남_30~39세,2017년_남_40~49세,2017년_남_50~59세,2017년_남_60~69세,2017년_남_70~79세,2017년_남_80~89세,2017년_남_90~99세,2017년_남_100세 이상,2017년_여_총인구수,2017년_여_연령구간인구수,2017년_여_0~9세,2017년_여_10~19세,2017년_여_20~29세,2017년_여_30~39세,2017년_여_40~49세,2017년_여_50~59세,2017년_여_60~69세,2017년_여_70~79세,2017년_여_80~89세,2017년_여_90~99세,2017년_여_100세 이상,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_0~9세,2018년_계_10~19세,2018년_계_20~29세,2018년_계_30~39세,2018년_계_40~49세,2018년_계_50~59세,2018년_계_60~69세,2018년_계_70~79세,2018년_계_80~89세,2018년_계_90~99세,2018년_계_100세 이상,2018년_남_총인구수,2018년_남_연령구간인구수,2018년_남_0~9세,2018년_남_10~19세,2018년_남_20~29세,2018년_남_30~39세,2018년_남_40~49세,2018년_남_50~59세,2018년_남_60~69세,2018년_남_70~79세,2018년_남_80~89세,2018년_남_90~99세,2018년_남_100세 이상,2018년_여_총인구수,2018년_여_연령구간인구수,2018년_여_0~9세,2018년_여_10~19세,2018년_여_20~29세,2018년_여_30~39세,2018년_여_40~49세,2018년_여_50~59세,2018년_여_60~69세,2018년_여_70~79세,2018년_여_80~89세,2018년_여_90~99세,2018년_여_100세 이상,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_0~9세,2019년_계_10~19세,2019년_계_20~29세,2019년_계_30~39세,2019년_계_40~49세,2019년_계_50~59세,2019년_계_60~69세,2019년_계_70~79세,2019년_계_80~89세,2019년_계_90~99세,2019년_계_100세 이상,2019년_남_총인구수,2019년_남_연령구간인구수,2019년_남_0~9세,2019년_남_10~19세,2019년_남_20~29세,2019년_남_30~39세,2019년_남_40~49세,2019년_남_50~59세,2019년_남_60~69세,2019년_남_70~79세,2019년_남_80~89세,2019년_남_90~99세,2019년_남_100세 이상,2019년_여_총인구수,2019년_여_연령구간인구수,2019년_여_0~9세,2019년_여_10~19세,2019년_여_20~29세,2019년_여_30~39세,2019년_여_40~49세,2019년_여_50~59세,2019년_여_60~69세,2019년_여_70~79세,2019년_여_80~89세,2019년_여_90~99세,2019년_여_100세 이상
부산광역시 금정구 (2641000000),"249,856","249,856","16,170","26,071","35,594","32,550","39,513","46,913","29,625","17,007","5,570",681,162,"123,091","123,091","8,501","13,640","19,208","16,673","18,992","22,247","14,252","7,634","1,777",134,33,"126,765","126,765","7,669","12,431","16,386","15,877","20,521","24,666","15,373","9,373","3,793",547,129,"246,026","246,026","15,886","23,995","35,524","30,959","38,176","45,462","31,827","17,273","5,998",760,166,"120,957","120,957","8,312","12,481","19,167","15,933","18,440","21,493","15,156","7,826","1,966",148,35,"125,069","125,069","7,574","11,514","16,357","15,026","19,736","23,969","16,671","9,447","4,032",612,131,"244,624","244,624","15,550","22,469","35,571","30,231","37,014","44,907","33,421","17,967","6,503",821,170,"120,291","120,291","8,144","11,687","19,228","15,629","17,954","21,267","15,855","8,153","2,170",171,33,"124,333","124,333","7,406","10,782","16,343","14,602","19,060","23,640","17,566","9,814","4,333",650,137,"244,469","244,469","15,347","21,491","35,548","29,538","36,127","44,316","34,934","19,078","7,002",913,175,"120,153","120,153","7,999","11,122","19,339","15,223","17,716","20,923","16,548","8,648","2,408",193,34,"124,316","124,316","7,348","10,369","16,209","14,315","18,411","23,393","18,386","10,430","4,594",720,141,"242,956","242,956","14,899","20,345","35,085","28,767","34,760","43,782","36,199","20,385","7,568",985,181,"119,261","119,261","7,704","10,585","19,000","14,863","17,186","20,728","17,013","9,256","2,661",229,36,"123,695","123,695","7,195","9,760","16,085","13,904","17,574","23,054","19,186","11,129","4,907",756,145,"239,062","239,062","14,162","19,022","34,283","27,165","33,472","42,559","37,588","21,252","8,259","1,109",191,"117,070","117,070","7,313","9,862","18,581","14,006","16,630","20,116","17,631","9,659","2,976",257,39,"121,992","121,992","6,849","9,160","15,702","13,159","16,842","22,443","19,957","11,593","5,283",852,152
부산광역시 강서구 (2644000000),"79,619","79,619","9,067","6,668","8,578","14,697","11,572","13,428","8,544","4,956","1,858",226,25,"41,412","41,412","4,627","3,524","4,656","7,856","6,502","6,984","4,470","2,204",533,49,7,"38,207","38,207","4,440","3,144","3,922","6,841","5,070","6,444","4,074","2,752","1,325",177,18,"94,608","94,608","12,517","7,507","9,981","19,032","13,665","14,510","9,982","5,136","1,995",254,29,"49,032","49,032","6,407","3,941","5,299","10,059","7,661","7,457","5,249","2,303",594,54,8,"45,576","45,576","6,110","3,566","4,682","8,973","6,004","7,053","4,733","2,833","1,401",200,21,"108,909","108,909","15,747","8,259","11,168","23,048","15,888","15,601","11,318","5,470","2,098",277,35,"56,287","56,287","8,050","4,309","5,851","12,036","8,871","8,033","5,893","2,560",617,58,9,"52,622","52,622","7,697","3,950","5,317","11,012","7,017","7,568","5,425","2,910","1,481",219,26,"117,382","117,382","17,544","8,895","11,508","25,370","17,615","15,817","12,296","5,775","2,193",331,38,"60,677","60,677","8,999","4,600","6,043","13,213","9,888","8,101","6,326","2,744",693,60,10,"56,705","56,705","8,545","4,295","5,465","12,157","7,727","7,716","5,970","3,031","1,500",271,28,"122,957","122,957","18,602","9,531","11,601","26,175","18,945","15,943","13,300","6,147","2,300",376,37,"63,491","63,491","9,511","4,898","6,119","13,492","10,703","8,121","6,821","2,997",746,72,11,"59,466","59,466","9,091","4,633","5,482","12,683","8,242","7,822","6,479","3,150","1,554",304,26,"129,566","129,566","19,380","10,435","11,860","26,536","21,062","16,421","14,445","6,492","2,484",412,39,"66,982","66,982","9,947","5,327","6,345","13,613","11,814","8,423","7,422","3,182",823,76,10,"62,584","62,584","9,433","5,108","5,515","12,923","9,248","7,998","7,023","3,310","1,661",336,29
부산광역시 연제구 (2647000000),"208,012","208,012","15,363","21,398","26,275","29,783","34,438","37,249","24,856","14,058","4,070",467,55,"102,403","102,403","7,844","11,376","13,886","14,954","16,921","17,584","11,989","6,432","1,304",98,15,"105,609","105,609","7,519","10,022","12,389","14,829","17,517","19,665","12,867","7,626","2,766",369,40,"210,718","210,718","16,068","20,693","26,538","29,830","34,399","36,814","26,822","14,406","4,562",523,63,"103,507","103,507","8,268","10,978","13,975","14,857","16,947","17,441","12,785","6,605","1,511",125,15,"107,211","107,211","7,800","9,715","12,563","14,973","17,452","19,373","14,037","7,801","3,051",398,48,"207,268","207,268","15,808","19,290","26,321","28,864","33,586","35,521","27,674","14,652","4,906",582,64,"101,330","101,330","8,104","10,134","13,775","14,370","16,489","16,793","13,084","6,766","1,668",131,16,"105,938","105,938","7,704","9,156","12,546","14,494","17,097","18,728","14,590","7,886","3,238",451,48,"206,742","206,742","15,570","18,323","26,489","28,637","32,668","34,976","28,585","15,466","5,323",641,64,"100,613","100,613","7,971","9,598","13,725","14,305","15,993","16,457","13,449","7,105","1,857",140,13,"106,129","106,129","7,599","8,725","12,764","14,332","16,675","18,519","15,136","8,361","3,466",501,51,"207,840","207,840","15,429","17,602","26,556","28,588","31,871","34,992","29,714","16,599","5,730",689,70,"100,789","100,789","7,889","9,144","13,680","14,296","15,623","16,471","13,876","7,592","2,056",146,16,"107,051","107,051","7,540","8,458","12,876","14,292","16,248","18,521","15,838","9,007","3,674",543,54,"209,395","209,395","15,444","17,003","26,303","28,233","32,008","34,707","30,990","17,501","6,333",792,81,"101,253","101,253","7,872","8,785","13,465","14,158","15,707","16,354","14,375","7,965","2,368",184,20,"108,142","108,142","7,572","8,218","12,838","14,075","16,301","18,353","16,615","9,536","3,965",608,61
부산광역시 수영구 (2650000000),"178,480","178,480","11,574","16,481","23,319","26,723","27,437","31,810","23,180","13,159","4,293",462,42,"85,773","85,773","5,994","8,659","11,880","13,382","13,232","14,183","10,915","6,036","1,381",103,8,"92,707","92,707","5,580","7,822","11,439","13,341","14,205","17,627","12,265","7,123","2,912",359,34,"179,795","179,795","11,713","15,509","23,801","26,861","27,317","30,952","24,957","13,445","4,660",529,51,"86,077","86,077","6,028","8,110","12,051","13,441","13,172","13,846","11,595","6,174","1,537",115,8,"93,718","93,718","5,685","7,399","11,750","13,420","14,145","17,106","13,362","7,271","3,123",414,43,"179,324","179,324","11,688","14,540","24,002","26,402","27,123","30,074","25,806","14,006","5,045",590,48,"85,573","85,573","5,961","7,581","12,089","13,162","13,109","13,534","11,809","6,441","1,749",130,8,"93,751","93,751","5,727","6,959","11,913","13,240","14,014","16,540","13,997","7,565","3,296",460,40,"179,996","179,996","11,565","13,873","24,351","26,087","26,929","29,541","26,545","14,973","5,410",668,54,"85,778","85,778","5,906","7,198","12,228","13,063","13,040","13,320","12,062","6,862","1,931",159,9,"94,218","94,218","5,659","6,675","12,123","13,024","13,889","16,221","14,483","8,111","3,479",509,45,"176,246","176,246","10,785","12,984","24,199","24,905","25,799","28,477","26,850","15,737","5,701",748,61,"83,852","83,852","5,532","6,728","12,057","12,443","12,615","12,890","12,113","7,206","2,089",168,11,"92,394","92,394","5,253","6,256","12,142","12,462","13,184","15,587","14,737","8,531","3,612",580,50,"176,148","176,148","10,571","12,378","24,107","24,205","25,593","27,920","27,608","16,572","6,296",833,65,"83,565","83,565","5,439","6,390","11,953","12,126","12,555","12,673","12,343","7,524","2,349",200,13,"92,583","92,583","5,132","5,988","12,154","12,079","13,038","15,247","15,265","9,048","3,947",633,52
부산광역시 사상구 (2653000000),"242,953","242,953","17,789","24,385","34,487","35,469","40,052","47,610","26,123","13,023","3,531",441,43,"123,783","123,783","9,160","13,020","18,640","18,747","20,322","24,085","13,040","5,722",980,61,6,"119,170","119,170","8,629","11,365","15,847","16,722","19,730","23,525","13,083","7,301","2,551",380,37,"237,711","237,711","17,359","22,065","33,629","33,867","38,097","46,799","28,259","13,273","3,880",436,47,"120,981","120,981","8,930","11,677","18,239","17,966","19,395","23,686","14,047","5,878","1,097",60,6,"116,730","116,730","8,429","10,388","15,390","15,901","18,702","23,113","14,212","7,395","2,783",376,41,"232,800","232,800","16,753","20,163","32,865","32,381","36,195","46,172","29,909","13,626","4,205",476,55,"118,419","118,419","8,567","10,645","17,809","17,241","18,473","23,369","14,878","6,133","1,230",67,7,"114,381","114,381","8,186","9,518","15,056","15,140","17,722","22,803","15,031","7,493","2,975",409,48,"229,219","229,219","15,814","18,733","32,499","30,848","34,476","45,507","31,512","14,597","4,653",520,60,"116,416","116,416","8,034","9,946","17,561","16,480","17,706","22,893","15,704","6,615","1,400",71,6,"112,803","112,803","7,780","8,787","14,938","14,368","16,770","22,614","15,808","7,982","3,253",449,54,"223,361","223,361","14,750","17,355","31,449","28,926","32,165","44,694","32,882","15,496","5,009",571,64,"113,240","113,240","7,539","9,137","16,890","15,468","16,721","22,351","16,367","7,127","1,551",83,6,"110,121","110,121","7,211","8,218","14,559","13,458","15,444","22,343","16,515","8,369","3,458",488,58,"218,094","218,094","13,720","16,240","29,973","27,071","30,701","43,241","34,755","16,266","5,441",619,67,"110,286","110,286","7,001","8,509","16,068","14,425","16,026","21,533","17,361","7,522","1,734",99,8,"107,808","107,808","6,719","7,731","13,905","12,646","14,675","21,708","17,394","8,744","3,707",520,59
부산광역시 기장군 (2671000000),"144,748","144,748","18,532","15,100","14,155","27,151","23,915","19,816","13,841","8,784","2,999",430,25,"71,581","71,581","9,486","7,931","7,418","13,465","12,456","9,579","6,574","3,700",883,85,4,"73,167","73,167","9,046","7,169","6,737","13,686","11,459","10,237","7,267","5,084","2,116",345,21,"153,093","153,093","19,954","15,647","14,694","28,243","25,763","20,360","15,417","9,162","3,342",481,30,"75,755","75,755","10,204","8,199","7,686","14,031","13,445","9,854","7,326","3,901","1,019",86,4,"77,338","77,338","9,750","7,448","7,008","14,212","12,318","10,506","8,091","5,261","2,323",395,26,"158,527","158,527","20,675","15,768","15,243","28,349","27,070","21,006","16,569","9,593","3,699",524,31,"78,373","78,373","10,528","8,249","8,016","14,007","14,075","10,301","7,797","4,121","1,187",87,5,"80,154","80,154","10,147","7,519","7,227","14,342","12,995","10,705","8,772","5,472","2,512",437,26,"161,651","161,651","20,146","16,175","15,651","27,205","28,302","21,580","17,626","10,366","3,995",573,32,"80,067","80,067","10,295","8,453","8,351","13,368","14,743","10,672","8,249","4,549","1,290",92,5,"81,584","81,584","9,851","7,722","7,300","13,837","13,559","10,908","9,377","5,817","2,705",481,27,"164,864","164,864","19,825","16,593","15,868","26,537","29,349","22,144","18,493","11,067","4,336",619,33,"81,598","81,598","10,094","8,646","8,429","13,077","15,275","11,040","8,597","4,921","1,407",106,6,"83,266","83,266","9,731","7,947","7,439","13,460","14,074","11,104","9,896","6,146","2,929",513,27,"164,716","164,716","18,803","16,718","15,872","24,478","30,097","22,374","19,349","11,580","4,751",659,35,"81,571","81,571","9,587","8,710","8,476","12,054","15,571","11,291","8,958","5,246","1,559",113,6,"83,145","83,145","9,216","8,008","7,396","12,424","14,526","11,083","10,391","6,334","3,192",546,29
대구광역시  (2700000000),"2,493,264","2,493,264","208,524","307,096","323,936","353,237","446,088","415,681","235,408","148,568","48,605","5,620",501,"1,241,119","1,241,119","107,712","163,373","178,208","176,611","219,647","204,976","111,805","62,202","15,276","1,202",107,"1,252,145","1,252,145","100,812","143,723","145,728","176,626","226,441","210,705","123,603","86,366","33,329","4,418",394,"2,487,829","2,487,829","208,115","289,590","326,755","342,633","438,674","419,653","253,693","148,884","53,282","6,007",543,"1,237,291","1,237,291","107,230","153,618","179,517","172,408","216,253","206,822","120,190","62,625","17,216","1,292",120,"1,250,538","1,250,538","100,885","135,972","147,238","170,225","222,421","212,831","133,503","86,259","36,066","4,715",423,"2,484,557","2,484,557","207,036","274,127","329,927","333,768","431,822","422,215","270,182","150,535","57,934","6,420",591,"1,234,169","1,234,169","106,297","145,053","180,511","168,980","212,242","208,457","128,112","63,920","19,088","1,374",135,"1,250,388","1,250,388","100,739","129,074","149,416","164,788","219,580","213,758","142,070","86,615","38,846","5,046",456,"2,475,231","2,475,231","201,043","261,756","332,212","324,015","421,146","424,677","282,918","157,294","62,457","7,098",615,"1,227,814","1,227,814","103,263","138,062","180,803","165,043","207,430","208,665","134,676","67,223","20,941","1,571",137,"1,247,417","1,247,417","97,780","123,694","151,409","158,972","213,716","216,012","148,242","90,071","41,516","5,527",478,"2,461,769","2,461,769","194,953","249,672","330,845","317,978","404,270","431,143","292,750","164,586","67,069","7,875",628,"1,219,342","1,219,342","99,981","131,186","179,001","162,884","199,424","211,453","139,864","70,859","22,807","1,738",145,"1,242,427","1,242,427","94,972","118,486","151,844","155,094","204,846","219,690","152,886","93,727","44,262","6,137",483,"2,438,031","2,438,031","188,312","237,198","323,641","305,986","393,387","428,249","308,797","170,112","73,058","8,613",678,"1,205,286","1,205,286","96,593","124,289","174,194","157,920","194,076","209,676","147,322","73,829","25,304","1,925",158,"1,232,745","1,232,745","91,719","112,909","149,447","148,066","199,311","218,573","161,475","96,283","47,754","6,688",520
대구광역시 중구 (2711000000),"78,812","78,812","5,316","6,407","10,397","11,855","11,955","12,922","9,836","7,258","2,446",349,71,"38,444","38,444","2,779","3,285","5,396","6,119","6,189","6,250","4,444","3,103",792,73,14,"40,368","40,368","2,537","3,122","5,001","5,736","5,766","6,672","5,392","4,155","1,654",276,57,"80,928","80,928","5,675","6,191","10,839","12,345","12,208","12,976","10,324","7,286","2,650",354,80,"39,492","39,492","2,961","3,170","5,646","6,321","6,313","6,333","4,656","3,113",887,75,17,"41,436","41,436","2,714","3,021","5,193","6,024","5,895","6,643","5,668","4,173","1,763",279,63,"79,712","79,712","5,623","5,845","10,983","11,727","11,998","12,480","10,493","7,263","2,834",380,86,"38,720","38,720","2,923","2,963","5,611","5,975","6,207","6,125","4,735","3,096",988,80,17,"40,992","40,992","2,700","2,882","5,372","5,752","5,791","6,355","5,758","4,167","1,846",300,69,"78,986","78,986","5,684","5,713","11,079","11,444","11,676","12,221","10,372","7,353","2,937",421,86,"38,395","38,395","2,953","2,898","5,602","5,879","6,041","6,036","4,706","3,120","1,046",98,16,"40,591","40,591","2,731","2,815","5,477","5,565","5,635","6,185","5,666","4,233","1,891",323,70,"79,401","79,401","5,744","5,583","11,670","11,653","11,368","12,107","10,215","7,464","3,055",457,85,"38,498","38,498","2,978","2,815","5,764","6,028","5,873","5,988","4,679","3,154","1,086",118,15,"40,903","40,903","2,766","2,768","5,906","5,625","5,495","6,119","5,536","4,310","1,969",339,70,"77,421","77,421","5,514","5,200","11,595","11,164","10,993","11,580","10,177","7,394","3,236",476,92,"37,384","37,384","2,835","2,651","5,654","5,766","5,644","5,697","4,693","3,136","1,173",118,17,"40,037","40,037","2,679","2,549","5,941","5,398","5,349","5,883","5,484","4,258","2,063",358,75
대구광역시 동구 (2714000000),"347,975","347,975","30,063","34,510","42,060","53,256","55,841","58,937","39,166","25,313","7,834",907,88,"173,633","173,633","15,483","18,438","23,393","27,303","28,684","28,338","18,430","10,813","2,552",185,14,"174,342","174,342","14,580","16,072","18,667","25,953","27,157","30,599","20,736","14,500","5,282",722,74,"349,728","349,728","30,429","32,829","42,477","52,050","55,632","59,051","42,011","25,576","8,610",969,94,"174,224","174,224","15,646","17,466","23,518","26,664","28,732","28,444","19,721","10,909","2,899",210,15,"175,504","175,504","14,783","15,363","18,959","25,386","26,900","30,607","22,290","14,667","5,711",759,79,"351,352","351,352","30,389","31,381","43,072","50,865","55,707","58,876","44,587","25,917","9,441","1,010",107,"174,663","174,663","15,546","16,735","23,622","26,160","28,735","28,430","20,872","11,102","3,234",209,18,"176,689","176,689","14,843","14,646","19,450","24,705","26,972","30,446","23,715","14,815","6,207",801,89,"349,379","349,379","29,152","30,251","43,198","48,686","54,834","58,432","46,198","27,104","10,266","1,154",104,"173,301","173,301","14,987","16,068","23,525","25,044","28,386","28,204","21,598","11,652","3,567",248,22,"176,078","176,078","14,165","14,183","19,673","23,642","26,448","30,228","24,600","15,452","6,699",906,82,"351,291","351,291","28,571","29,313","43,532","48,399","53,666","59,146","47,617","28,551","11,097","1,289",110,"173,955","173,955","14,765","15,439","23,636","25,034","27,768","28,535","22,270","12,351","3,854",278,25,"177,336","177,336","13,806","13,874","19,896","23,365","25,898","30,611","25,347","16,200","7,243","1,011",85,"345,469","345,469","27,103","27,792","42,229","45,899","52,318","57,845","49,203","29,426","12,118","1,419",117,"170,601","170,601","13,890","14,577","22,791","23,953","27,025","27,975","22,954","12,804","4,282",320,30,"174,868","174,868","13,213","13,215","19,438","21,946","25,293","29,870","26,249","16,622","7,836","1,099",87
대구광역시 서구 (2717000000),"210,770","210,770","12,278","20,349","28,587","28,116","35,093","40,861","25,610","15,143","4,144",509,80,"106,740","106,740","6,198","10,912","16,053","15,276","18,307","20,091","12,160","6,437","1,201",82,23,"104,030","104,030","6,080","9,437","12,534","12,840","16,786","20,770","13,450","8,706","2,943",427,57,"206,028","206,028","11,818","18,334","28,066","26,563","33,094","40,490","27,309","15,155","4,601",515,83,"104,213","104,213","5,972","9,760","15,712","14,551","17,328","20,035","12,843","6,489","1,410",89,24,"101,815","101,815","5,846","8,574","12,354","12,012","15,766","20,455","14,466","8,666","3,191",426,59,"199,507","199,507","11,057","16,471","27,001","24,429","31,213","39,822","28,539","15,273","5,061",553,88,"100,760","100,760","5,600","8,771","15,093","13,414","16,383","19,847","13,365","6,542","1,626",96,23,"98,747","98,747","5,457","7,700","11,908","11,015","14,830","19,975","15,174","8,731","3,435",457,65,"191,992","191,992","10,094","14,834","25,957","22,318","28,882","38,710","29,121","15,904","5,477",606,89,"96,795","96,795","5,135","7,854","14,484","12,264","15,308","19,278","13,714","6,847","1,781",109,21,"95,197","95,197","4,959","6,980","11,473","10,054","13,574","19,432","15,407","9,057","3,696",497,68,"184,372","184,372","9,287","13,294","24,698","20,686","26,316","37,819","29,113","16,513","5,877",674,95,"92,796","92,796","4,707","7,028","13,701","11,520","14,011","18,840","13,742","7,113","1,980",130,24,"91,576","91,576","4,580","6,266","10,997","9,166","12,305","18,979","15,371","9,400","3,897",544,71,"175,277","175,277","8,325","11,980","22,699","18,696","24,174","35,623","29,800","16,737","6,409",736,98,"88,052","88,052","4,252","6,314","12,518","10,530","12,940","17,823","14,062","7,254","2,193",143,23,"87,225","87,225","4,073","5,666","10,181","8,166","11,234","17,800","15,738","9,483","4,216",593,75
대구광역시 남구 (2720000000),"163,492","163,492","9,773","14,493","21,428","23,663","25,564","28,820","20,356","14,029","4,772",538,56,"79,758","79,758","5,133","7,635","11,456","12,083","13,056","13,545","9,218","5,896","1,598",126,12,"83,734","83,734","4,640","6,858","9,972","11,580","12,508","15,275","11,138","8,133","3,174",412,44,"160,852","160,852","9,509","13,465","21,085","22,466","24,856","28,037","21,588","13,924","5,278",586,58,"78,305","78,305","4,949","7,063","11,257","11,553","12,668","13,194","9,848","5,806","1,830",124,13,"82,547","82,547","4,560","6,402","9,828","10,913","12,188","14,843","11,740","8,118","3,448",462,45,"156,433","156,433","8,791","12,353","20,679","20,931","24,016","27,199","22,257","13,897","5,633",616,61,"76,147","76,147","4,527","6,481","11,082","10,806","12,209","12,918","10,169","5,827","1,980",132,16,"80,286","80,286","4,264","5,872","9,597","10,125","11,807","14,281","12,088","8,070","3,653",484,45,"152,845","152,845","8,146","11,504","20,564","19,392","22,980","26,579","22,641","14,271","6,016",686,66,"74,133","74,133","4,193","5,979","10,892","10,051","11,670","12,674","10,359","6,038","2,095",165,17,"78,712","78,712","3,953","5,525","9,672","9,341","11,310","13,905","12,282","8,233","3,921",521,49,"150,501","150,501","7,520","10,849","20,423","18,483","21,908","26,357","22,849","14,833","6,410",793,76,"72,664","72,664","3,842","5,636","10,648","9,644","11,036","12,641","10,475","6,279","2,245",200,18,"77,837","77,837","3,678","5,213","9,775","8,839","10,872","13,716","12,374","8,554","4,165",593,58,"148,113","148,113","7,278","10,051","20,120","17,826","21,080","25,522","23,352","15,009","6,927",866,82,"71,366","71,366","3,802","5,266","10,302","9,275","10,618","12,331","10,701","6,363","2,474",214,20,"76,747","76,747","3,476","4,785","9,818","8,551","10,462","13,191","12,651","8,646","4,453",652,62
대구광역시 북구 (2723000000),"444,375","444,375","41,577","58,383","57,555","65,328","83,777","69,414","36,882","23,448","7,138",812,61,"222,664","222,664","21,582","30,967","31,537","32,243","41,738","34,896","17,549","9,812","2,163",163,14,"221,711","221,711","19,995","27,416","26,018","33,085","42,039","34,518","19,333","13,636","4,975",649,47,"443,119","443,119","41,134","55,253","58,379","62,642","82,794","70,911","39,706","23,509","7,862",866,63,"221,876","221,876","21,314","29,270","31,947","31,199","41,191","35,609","18,854","9,849","2,456",172,15,"221,243","221,243","19,820","25,983","26,432","31,443","41,603","35,302","20,852","13,660","5,406",694,48,"440,383","440,383","39,791","52,457","59,214","59,678","81,233","72,369","42,317","23,786","8,575",889,74,"220,247","220,247","20,535","27,682","32,373","30,022","40,100","36,414","20,134","10,061","2,737",171,18,"220,136","220,136","19,256","24,775","26,841","29,656","41,133","35,955","22,183","13,725","5,838",718,56,"441,375","441,375","38,234","50,177","60,746","58,154","79,759","74,037","44,839","25,055","9,301","1,004",69,"220,579","220,579","19,608","26,432","33,238","29,606","39,276","36,992","21,564","10,618","3,030",199,16,"220,796","220,796","18,626","23,745","27,508","28,548","40,483","37,045","23,275","14,437","6,271",805,53,"439,489","439,489","36,774","48,006","60,735","57,192","76,298","75,980","46,874","26,241","10,171","1,147",71,"219,307","219,307","18,790","25,140","33,114","29,406","37,473","37,838","22,752","11,139","3,409",228,18,"220,182","220,182","17,984","22,866","27,621","27,786","38,825","38,142","24,122","15,102","6,762",919,53,"437,710","437,710","35,406","45,511","60,440","55,130","74,201","76,941","50,142","27,362","11,267","1,230",80,"218,150","218,150","18,169","23,720","32,834","28,567","36,396","38,262","24,401","11,655","3,870",259,17,"219,560","219,560","17,237","21,791","27,606","26,563","37,805","38,679","25,741","15,707","7,397",971,63
